Categories,Job Openings,Job types,Locations,Experience,Post_date
Facial recognition,Machine Learning Engineer,Full-time , Hyderabad , 3 - 5 Years,3 months ago
Event Management,HR and Community Specialist,Full-time , New York , 0 - 3 Years,3 months 
Information Technology,Engineering Lead,Full-time , mauritius , 7 - 18 Years,3 months 
Information Technology,DevOps Architect,Full-time , Hyderabad , 5 - 15 Years,3 months 
Information Technology,Sr SDET,Full-time , New York , 3 - 10 Years,3 months 
Information Technology,OSS DevOps Engineer,Full-time , Hyderabad , 6 - 12 Years,3 months 
Information Technology,Site Reliability Engineer,Full-time , New York , 1 - 3 Years,3 months 
Information Technology,Lead DevOps Engineer,Full-time , Hyderabad , 5 - 11 Years,3 months 
Information Technology,Associate Cloud Engineer,Full-time , Hyderabad , 0 - 3 Years,2 months 
Information Technology,Junior Cloud Native Developer,Full-time , Delaware , 1 - 2 Years,2 months 
Information Technology,Sr Full Stack Developer,Full-time , Mauritius , 3 - 8 Years,2 months 
Information Technology,Blockchain Developer,Full-time , Hyderabad , 1 - 4 Years,2 months 
Information Technology,iOS Developer,Full-time , Hyderabad , 3 - 10 Years,2 months 
Information Technology,Android Mobile Developer,Full-time , mauritius , 3 - 8 Years,2 months 
Information Technology,Full Stack Developer,Full-time , Hyderabad , 4 - 9 Years,2 months 
Information Technology,Associate QA Engineer,Full-time , Hyderabad , 1 - 3 Years,a month 
Information Technology,System Engineer,Internship , Mauritius , 0 - 1 Years,a month 
Information Technology,Embedded Engineer,Full-time , Hyderabad , 2 - 4 Years,a month 
Information Technology,Data Scientist Intern,Internship , Hyderabad , 0 - 4 Years,a month 
Information Technology,Cloud Native Developer,Full-time , Hyderabad , 2 - 5 Years,a month 
Quality Assurance,Sr.QA Engineer,Full-time , Hyderabad , 3 - 5 Years,19 days 
Project Management,Project Manager,Full-time , Hyderabad , 2 - 5 Years,14 days 
Human Resources,Talent Acquisition Specialist,Full-time , Hyderabad , 1 - 5 Years,14 days 
Information Technology,Computer Vision Engineer / Machine Learning Engineer,Internship , Hyderabad , 0 - 1 Years,10 days 
Information Technology,Python Developer,Full-time , Hyderabad , 1 - 3 Years,9 days 
Marketing,Social Media Intern,Internship , Hyderabad , 0 Years,17 hours 
Information Technology,Magento Developer,Full-time , Hyderabad , 2 - 8 Years,16 hours 
